name,rating,genre,release_date,runtime,director,url
My Hero Academia: Heroes Rising,85.0,"Animation, Action, Fantasy, Adventure",02/26/2020,1h 44m,Daiki Yamashita,https://www.themoviedb.org/movie/592350
Honest Thief,65.0,"Thriller, Action, Crime, Drama",10/16/2020,1h 39m,Liam Neeson,https://www.themoviedb.org/movie/553604
Breaking News in Yuba County,0,"Comedy, Drama, Crime, Thriller",05/20/2021,1h 36m,Allison Janney,https://www.themoviedb.org/movie/556867
Aquaslash,40,Comedy,(US),1h 12m,Nicolas Fontaine,https://www.themoviedb.org/movie/607383
After We Collided,73.0,"Romance, Drama",09/02/2020,1h 45m,Josephine Langford,https://www.themoviedb.org/movie/613504
Evangelion: 3.0+1.0 Thrice Upon a Time,65.0,"Action, Drama, Science Fiction",(JP),2h 35m,Megumi Ogata,https://www.themoviedb.org/movie/283566
Stowaway,62.0,"Drama, Science Fiction, Thriller",04/22/2021,1h 56m,Anna Kendrick,https://www.themoviedb.org/movie/559581
Tentacles,64.0,"Fantasy, Drama, TV Movie",(US),1h 24m,Casey Deidrick,https://www.themoviedb.org/movie/786300
Tenet,73.0,"Action, Thriller, Science Fiction",09/03/2020,2h 30m,John David Washington,https://www.themoviedb.org/movie/577922
Fast & Furious Presents: Hobbs & Shaw,69.0,"Action, Adventure, Comedy",08/02/2019,2h 17m,Dwayne Johnson,https://www.themoviedb.org/movie/384018
Bloodshot,69.0,"Action, Science Fiction",03/13/2020,1h 50m,Vin Diesel,https://www.themoviedb.org/movie/338762
Coming 2 America,68.0,Comedy,03/05/2021,1h 50m,Eddie Murphy,https://www.themoviedb.org/movie/484718
Extraction,74.0,"Drama, Action, Thriller",04/24/2020,1h 56m,Chris Hemsworth,https://www.themoviedb.org/movie/545609
The Heist of the Century,79.0,"Thriller, Crime",(AR),1h 54m,Guillermo Francella,https://www.themoviedb.org/movie/609242
Ride or Die,69.0,"Drama, Romance, Thriller",04/15/2021,2h 22m,Kiko Mizuhara,https://www.themoviedb.org/movie/796849
Joker,82.0,"Crime, Thriller, Drama",10/04/2019,2h 2m,Joaquin Phoenix,https://www.themoviedb.org/movie/475557
Dragonheart: Vengeance,70,"Fantasy, Action, Adventure",02/04/2020,1h 37m,Joseph Millson,https://www.themoviedb.org/movie/666750
The Father,84.0,Drama,12/23/2020,1h 37m,Anthony Hopkins,https://www.themoviedb.org/movie/600354
Assassin 33 A.D.,52.0,"Science Fiction, Action, Adventure, Mystery, History, Fantasy",04/10/2020,1h 48m,Donny Boaz,https://www.themoviedb.org/movie/582306
The Tax Collector,58.0,"Action, Crime, Drama",08/07/2020,1h 35m,Bobby Soto,https://www.themoviedb.org/movie/531499
Fear of Rain,73.0,"Thriller, Horror, Drama",02/12/2021,1h 49m,Katherine Heigl,https://www.themoviedb.org/movie/599281
Avengers: Infinity War,83.0,"Adventure, Action, Science Fiction",04/27/2018,2h 29m,Robert Downey Jr.,https://www.themoviedb.org/movie/299536
The Unfamiliar,62.0,"Thriller, Horror",07/15/2021,1h 29m,Jemima West,https://www.themoviedb.org/movie/675490
Legionnaires Trail,65.0,"History, Action, Adventure",05/08/2020,1h 36m,Mickey Rourke,https://www.themoviedb.org/movie/631939
Naruto Shippuden the Movie,71.0,"Family, Action, Animation, Adventure, Fantasy",08/04/2007,1h 34m,Junko Takeuchi,https://www.themoviedb.org/movie/20982
100% Wolf,58.0,"Family, Animation, Fantasy",06/26/2020,1h 36m,Ilai Swindells,https://www.themoviedb.org/movie/520946
The SpongeBob Movie: Sponge on the Run,78.0,"Animation, Fantasy, Adventure, Comedy, Family",08/14/2020,1h 35m,Tom Kenny,https://www.themoviedb.org/movie/400160
Sputnik,66.0,"Science Fiction, Drama, Horror",11/27/2020,1h 53m,Oksana Akinshina,https://www.themoviedb.org/movie/594718
War of Likes,79.0,,(MX),1h 43m,Regina Blandón,https://www.themoviedb.org/movie/709629
Scooby-Doo! The Sword and the Scoob,78.0,"Animation, Comedy, Family, Mystery, Adventure, Fantasy",02/23/2021,1h 12m,Frank Welker,https://www.themoviedb.org/movie/682254
Avengers: Endgame,83.0,"Adventure, Science Fiction, Action",04/26/2019,3h 1m,Robert Downey Jr.,https://www.themoviedb.org/movie/299534
